"For a horror film, it had me laughing out loud from start to finish—truly a unique experience for the genre.",Difficult
What a delightful waste of time! I love sitting through a three hour film that goes nowhere. I’m looking forward to the sequel already!,Difficult
"Almost everything about my day at the cinema was brilliant; the popcorn was lovely, the seats were fantastic and the tickets were great value. The film itself though, the less said the better.",Difficult
"I was dreading watching this movie as I had been told the acting was awful and the plot was confusing. However, having watched it myself, I completely disagree. Those reviews were absolute nonsense.",Difficult
"I wanted to turn this film off from the moment it began. It was a horrible and unsettling experience, exactly how a horror movie should be. Despite the awful fear I felt, I couldn’t look away.",Difficult
I usually hate the lead actor but his performance wasn’t a complete disaster this time around. I was shocked that he didn’t totally ruin the film and it was actually quite enjoyable,Difficult
"Wow, this was fantastic! As I was watching it, I asked myself, 'Is this the best animated movie I've ever seen?' I think the answer is 'yes'.",Easy
"Yeah, I must admit, I love this movie. Which is nothing to be ashamed of; great movie, great directing, great set, great scale, great canvas, great story.",Easy
This is the finest movie I have ever seen of the drama kind; it has everything to make an excellent movie. All the actors play an outstanding role.,Easy
"I have no idea how anyone could like this dull, uninspiring movie. It was very, very predictable. The leading actress had no talent.",Easy
This movie is probably one of the worst movies I have ever seen. Don't waste your time watching this. I almost turned this movie off watching it.,Easy
"If you want a quick and easy way to punish your kids, take them to see this film. This overlong and boring movie will put them to sleep.",Easy